収集日時,投稿日時,事業者,本文,判定
2026-09-01 05:14:44,2026-08-31 16:05:00,北海道電力,出来高バカみたいに買ってる人いて草 みんなも株を買おう！北海道電力！ pic.x.com/ZLxSSWtOVh,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:56:00,北海道電力,イーロン・マスクもAIの発展には電力が最重要と言っている だからわいは２０２４年から北海道電力を買っている(^q^) pic.x.com/cXs9ADDRo1,ポジティブ
2026-09-01 05:14:44,2026-08-31 14:13:00,北海道電力,"#カビュウ 紹介コード tQ4T #本日の株取引 #北海道電力 #現物売 1103.5円×500株(買782円) #本日の実現損益 +160,750円 #今月の合計損益 +2,718,876円 コメント 8月は #トーメンデバイス が無双😊 今月も乙ですた🙇‍♂️ pic.x.com/gHJamvVol9",ポジティブ
2026-09-01 05:14:44,2026-08-31 16:52:00,北海道電力,8月末PF(2) 5851 リョービ 6125 岡本工作 6302 住友重機械 6390 加藤製作所 6505 東洋電機製造 6743 大同信号 7245 大同メタル 7417 南陽 8051 山善 8159 立花エレテック 9034 南総通運 9506 東北電力 9508 九州電力 9509 北海道電力 9755 応用地質 9888 山善 9962 ミスミG,ニュートラル
2026-09-01 05:14:44,2026-08-31 15:28:00,北海道電力,・4コマニュース解説 北電再エネ送電網グリーンボンド ・4コマニュース解説 Google飛行機雲回避AI始動 ・4コマニュース解説 日本培養食料学会で培養肉新時代 ・4コマニュース解説 エヌビディア電力インフラ提携 pic.x.com/PAYnBSNmhy,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:52:00,北海道電力,8月末PF(2) 5851 リョービ 6125 岡本工作 6302 住友重機械 6390 加藤製作所 6505 東洋電機製造 6743 大同信号 7245 大同メタル 7417 南陽 8051 山善 8159 立花エレテック 9034 南総通運 9506 東北電力 9508 九州電力 9509 北海道電力 9755 応用地質 9888 山善 9962 ミスミG,ニュートラル
2026-09-01 05:14:44,2026-08-31 14:42:00,東北電力,NTTと東北電力が想像よりも伸びている どちらも配当が良いから長期保有していたが売る判断も視野 どっかで跳ね上がったら売る しばらくボックス相場になると予想しポジションは多く取らず細かく動きたい,ポジティブ
2026-09-01 05:14:44,2026-08-31 18:33:00,東北電力,福島原発はさ、何十年と東北電力管内ではなく、関東に届けていたんだよ、東京電力な、地元は関東のために、リスクを抱えて来たんだよ！ その恩を忘れ、やれ、除染土反対だ！だとか、原発反対だ！とかよくも言えたものだな！いい？一番の被害者は福島なんだよ！ #福島原発除染土,ネガティブ
2026-09-01 05:14:44,2026-08-31 14:23:00,東北電力,9月1日の注目銘柄 4588 オンコリスバイオ 593A ティアフォー 278A TERRADRONE 581A GO 6330 東洋エンジニア 2413 エムスリー 4373 シンプレクス 2492 インフォマート 4005 住友化学 6098 リクルート 5711 三菱マテリアル 9506 東北電力,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:52:00,東北電力,8月末PF(2) 5851 リョービ 6125 岡本工作 6302 住友重機械 6390 加藤製作所 6505 東洋電機製造 6743 大同信号 7245 大同メタル 7417 南陽 8051 山善 8159 立花エレテック 9034 南総通運 9506 東北電力 9508 九州電力 9509 北海道電力 9755 応用地質 9888 山善 9962 ミスミG,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:05:00,東京電力,復旧した〜まじ東京電力ふざけんなの,ネガティブ
2026-09-01 05:14:44,2026-08-31 16:19:00,東京電力,東京電力は俺の9月の電気代5割引しろ😡🫵,ネガティブ
2026-09-01 05:14:44,2026-08-31 16:20:00,東京電力,東京電力、今月の電気代無料にしてくれるなら許す,ポジティブ
2026-09-01 05:14:44,2026-08-31 16:24:00,東京電力,東京電力パワーグリッド株式会社@TEPCOPG16:24,ニュートラル
2026-09-01 05:14:44,2026-08-31 17:00:00,東京電力,東京電力、許さねえぞAgasa@2_agasa297017:00,ネガティブ
2026-09-01 05:14:44,2026-08-31 18:00:00,東京電力,電気全開で切れた状態で寝てたのに急に明るくなって起こされた 東京電力やっぱり許しません,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:05:00,東京電力,もとはるさんの「東京電力」はいつか文字起こししたい(好きな映像や音声を文字起こししたくなる癖),ポジティブ
2026-09-01 05:14:44,2026-08-31 15:55:00,東京電力,タイムライン的にはつくば市で停電してるけど東京電力的には停電ありませんから状態が変わってないな。,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:05:00,東京電力,【速報】茨城 つくば市で停電 約5500軒 東京電力 newsdigest.jp/news/0c221f84-…,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:55:00,東京電力,東京電力的には停電してないっぽいな teideninfo.tepco.co.jp/html/082200000…,ニュートラル
2026-09-01 05:14:44,2026-08-31 14:21:00,東京電力,今日は実業家・財界人・経営者で東京電力・経団連元会長の平岩外四 生誕112年だぜ！ pic.x.com/0wkhaW1xJr,ポジティブ
2026-09-01 05:14:44,2026-08-31 16:24:00,東京電力,⚠️茨城県・群馬県 ⚠️東京電力 👨‍💼東京 #停電 #東京電力 #茨城県 #群馬県 x.com/tepcopg/status…,ネガティブ
2026-09-01 05:14:44,2026-08-31 16:35:00,東京電力,【速報】茨城 つくば市とつくばみらい市で停電 約1万2580軒 東京電力 newsdigest.jp/news/683ab1aa-…,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:38:00,東京電力,今日のトレード。あきらかに銘柄分散しすぎ。電力株で上がっているもの売って上がっていない東京電力に寄せた pic.x.com/wSo8oiGMe2,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:59:00,東京電力,東京電力の情報出た。 つくば 停電 teideninfo.tepco.co.jp/html/082200000… pic.x.com/DX3dBtdw5x,ニュートラル
2026-09-01 05:14:44,2026-08-31 17:32:00,東京電力,返信先:@Nonchalantepcoあなたは 勤務先が東京電力本店ですか？この本店はJR の 有楽町駅から直接 見え、有楽町線 江戸川橋にも行きやすいですね,ポジティブ
2026-09-01 05:14:44,2026-08-31 16:52:00,東京電力,〔東京電力パワーグリッド〕茨城県つくば市で停電(1日01時30分現在)（レスキューナウニュース） news.yahoo.co.jp/articles/dc525…,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:27:00,東京電力,第10回福島第一廃炉国際フォーラムにおいて東京電力福島第一原子力発電所の廃炉と未来 ... - goo.gl/alerts/hSuWgt #GoogleAlerts,ニュートラル
2026-09-01 05:14:44,2026-08-31 18:33:00,東京電力,ニック@BERICHBLOG1 NewsDigest by JX通信社 / 地震･災害･ニュース速報 @NewsDigestWeb · 【速報】茨城 つくば市とつくばみらい市で停電 約1万2580軒 東京電力,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:29:00,東京電力,【速報】茨城 つくば市で停電 約5500軒 東京電力 | NewsDigest ⚠️茨城県つくば市 ⚠️東京電力 👨‍💼東京 #停電 #東京電力 #茨城県 #つくば市 newsdigest.jp/news/0c221f84-…,ネガティブ
2026-09-01 05:14:44,2026-08-31 15:03:00,東京電力,（経産省）8月31日 第10回福島第一廃炉国際フォーラムにおいて東京電力福島第一原子力発電所の廃炉と未来について地元の皆様と語り合いました meti.go.jp/press/2026/08/… #iwakamiyasumi #iwakamiyasumi3,ニュートラル
2026-09-01 05:14:44,2026-08-31 18:33:00,東京電力,福島原発はさ、何十年と東北電力管内ではなく、関東に届けていたんだよ、東京電力な、地元は関東のために、リスクを抱えて来たんだよ！ その恩を忘れ、やれ、除染土反対だ！だとか、原発反対だ！とかよくも言えたものだな！いい？一番の被害者は福島なんだよ！ #福島原発除染土,ネガティブ
2026-09-01 05:14:44,2026-08-31 16:45:00,東京電力,🚨【福島第一原発】IAEA（国際原子力機関）は、東京電力が本日放出を開始した第23陣のALPS処理水について、トリチウム濃度が日本の運用基準値を大幅に下回り、国際的な安全基準に合致していることを確認したと発表しました。 #福島第一原発 #ALPS処理水 #IAEA,ニュートラル
2026-09-01 05:14:44,2026-08-31 16:40:00,東京電力,つくば市内の停電発生エリアが増加しています。 詳しい内訳はこちら（東京電力パワーグリッド停電情報）↓ teideninfo.tepco.co.jp/flash/08000000… @tsukubais @tkb_CityInfo pic.x.com/obWvR0Dzrn,ニュートラル
